age,experience_years,education_level,job_role,city,company_size,salary
26,25.0,master,data_scientist,tehran,medium,64864.72398687543
24,7.0,phd,designer,tehran,large,46913.830910142235
50,4.0,high_school,data_scientist,berlin,small,43443.37347919384
52,19.0,phd,developer,,medium,68595.08947329069
57,9.0,high_school,analyst,berlin,large,41966.867758809734
33,6.0,bachelor,analyst,amsterdam,medium,37315.286442747056
52,20.0,high_school,analyst,berlin,small,45270.677520084384
21,31.0,high_school,developer,london,large,75045.47155762531
27,14.0,phd,designer,tehran,medium,48661.39491222725
26,11.0,phd,data_scientist,amsterdam,large,65646.65036597419
34,33.0,bachelor,data_scientist,tehran,medium,75220.2098783777
58,27.0,phd,designer,london,large,98504.53432042798
35,,high_school,data_scientist,amsterdam,small,41827.1221042214
54,10.0,bachelor,developer,,large,55115.49568961983
18,7.0,phd,analyst,paris,small,41303.37182058199
21,20.0,phd,developer,tehran,medium,57154.11293006781
24,32.0,master,analyst,berlin,small,72808.80524203481
46,9.0,phd,data_scientist,paris,medium,59432.846771707715
30,8.0,high_school,designer,tehran,medium,22237.37252188164
54,4.0,bachelor,analyst,amsterdam,small,32068.12795525259
54,16.0,bachelor,manager,berlin,small,50588.50089044789
41,21.0,high_school,analyst,london,large,59235.992061406156
58,31.0,high_school,data_scientist,amsterdam,large,84614.48529692666
18,2.0,phd,analyst,london,medium,36151.87466287893
21,33.0,bachelor,analyst,paris,small,61241.722609583
50,8.0,bachelor,data_scientist,london,medium,52699.064960002244
38,32.0,master,analyst,tehran,large,69201.77721774956
52,,high_school,analyst,london,medium,56144.048535169095
38,12.0,phd,data_scientist,tehran,medium,53618.37792925685
46,3.0,master,analyst,london,small,28273.78146945905
49,9.0,,data_scientist,berlin,small,40105.26170968017
51,3.0,bachelor,data_scientist,,large,32606.682522322397
48,9.0,phd,analyst,london,small,54802.13597805893
31,14.0,bachelor,designer,tehran,large,44720.59394173903
29,34.0,high_school,developer,tehran,large,66322.55355451297
24,33.0,,designer,berlin,small,85944.76134875708
55,,high_school,designer,tehran,medium,55628.48928601794
36,12.0,phd,manager,paris,large,75852.54142532383
31,31.0,bachelor,data_scientist,london,large,93022.0793092594
34,27.0,master,designer,berlin,large,83625.5988342757
38,8.0,bachelor,developer,berlin,small,45255.014740153914
43,5.0,high_school,developer,berlin,medium,41995.89125556912
56,3.0,master,manager,berlin,small,39799.33672864652
32,29.0,phd,designer,amsterdam,large,86660.78215325123
32,33.0,phd,manager,amsterdam,small,98058.0772993579
28,29.0,high_school,data_scientist,london,medium,79219.79954953567
50,22.0,high_school,designer,london,small,54823.42412467985
54,1.0,high_school,data_scientist,london,small,41429.835329175665
57,13.0,phd,analyst,london,small,67478.72911119854
54,12.0,phd,designer,paris,small,57232.95339867528
56,6.0,bachelor,analyst,tehran,large,37072.47455676629
54,29.0,bachelor,designer,berlin,small,61178.89235378568
27,,high_school,analyst,tehran,medium,24777.46818476338
49,31.0,bachelor,designer,tehran,medium,62872.49078257246
26,2.0,bachelor,data_scientist,amsterdam,small,30920.34290672208
29,33.0,master,data_scientist,london,large,93524.2536170875
54,15.0,high_school,developer,tehran,small,30553.11706067023
24,13.0,bachelor,manager,,large,55840.92724985132
29,20.0,bachelor,analyst,berlin,large,62249.549632027905
25,28.0,high_school,manager,tehran,large,80162.90386665077
18,,master,analyst,london,medium,74564.13403030892
32,,master,data_scientist,berlin,large,55326.690891593535
28,,high_school,manager,tehran,medium,21571.27371060778
45,6.0,high_school,data_scientist,paris,medium,37469.47536680779
34,26.0,phd,developer,tehran,large,68420.25342726169
58,3.0,phd,analyst,london,small,44976.03179604636
46,16.0,high_school,designer,london,large,44750.15600543826
44,3.0,phd,designer,paris,small,40601.873342547304
39,20.0,,analyst,tehran,medium,52208.55389325099
41,30.0,bachelor,data_scientist,tehran,small,65607.11232912261
29,7.0,high_school,developer,london,large,44712.66141264704
59,14.0,phd,developer,london,medium,64118.37406742096
41,27.0,bachelor,data_scientist,tehran,small,55072.60727439647
28,17.0,master,designer,amsterdam,large,52061.96479981761
47,30.0,bachelor,manager,tehran,small,69546.91176332001
22,32.0,phd,data_scientist,tehran,large,82783.41720423919
29,25.0,high_school,analyst,tehran,medium,55752.150651472584
46,10.0,master,manager,amsterdam,small,52177.81073762272
18,3.0,high_school,analyst,tehran,medium,10815.41676562062
43,6.0,phd,manager,london,medium,57820.00967461751
49,14.0,master,data_scientist,paris,large,67944.88069595968
21,12.0,,data_scientist,tehran,small,41445.83277617366
54,16.0,high_school,manager,london,medium,69181.13399205639
48,33.0,phd,designer,london,large,103237.47908863937
47,31.0,master,analyst,paris,medium,74335.5338294186
42,22.0,master,analyst,,medium,69746.49180905825
42,2.0,phd,developer,berlin,large,43336.815918448
56,1.0,bachelor,developer,paris,medium,38201.08944617531
47,5.0,master,designer,paris,medium,38612.6248443989
57,34.0,phd,manager,paris,medium,102089.48022207673
31,20.0,,analyst,paris,large,53987.20899099333
46,,phd,data_scientist,berlin,large,72190.28289097786
51,,phd,designer,tehran,medium,74740.11194858173
28,,master,manager,paris,small,55668.22437830029
58,32.0,phd,developer,paris,small,85420.41407610208
40,,master,manager,berlin,large,75827.46077907644
18,22.0,bachelor,manager,tehran,large,61687.78774964913
53,,master,manager,london,large,55132.35235007984
48,,phd,analyst,berlin,small,86481.77132374409
40,6.0,phd,data_scientist,tehran,medium,46476.9153381952
35,25.0,high_school,developer,paris,large,68230.09513076741
31,21.0,master,manager,berlin,small,60035.446169035145
53,17.0,master,manager,tehran,small,60469.86166739044
19,12.0,phd,data_scientist,paris,small,61444.45786721175
47,34.0,phd,data_scientist,berlin,medium,101392.70880107554
43,5.0,high_school,designer,berlin,small,18264.632058635027
39,,high_school,analyst,berlin,small,31820.851845819343
46,6.0,phd,manager,berlin,large,58986.35892828881
56,11.0,master,data_scientist,london,large,71676.10342010023
30,34.0,high_school,designer,amsterdam,medium,68147.6549100589
33,14.0,master,analyst,berlin,small,39000.506974998396
46,10.0,phd,manager,berlin,medium,60879.79902320482
42,6.0,phd,designer,paris,medium,41846.29969875875
18,,master,developer,berlin,medium,35733.82594578509
28,18.0,master,analyst,paris,small,50193.32586379753
28,5.0,high_school,designer,paris,large,35042.12447623917
45,30.0,phd,data_scientist,london,medium,99020.66305287016
38,9.0,master,designer,amsterdam,medium,44109.93099875425
21,27.0,bachelor,data_scientist,,small,70547.17205459067
30,1.0,high_school,analyst,paris,medium,21323.784018048533
32,31.0,master,data_scientist,tehran,large,81790.9885348923
33,14.0,bachelor,manager,berlin,medium,54323.02511646917
40,34.0,high_school,data_scientist,amsterdam,large,85882.84965508296
47,12.0,master,analyst,paris,large,63963.15992044567
46,16.0,high_school,developer,london,small,43609.44092787584
48,18.0,bachelor,developer,paris,small,50764.19910626141
59,31.0,high_school,data_scientist,paris,medium,88675.85043563144
50,18.0,phd,analyst,tehran,small,54689.40920719982
20,12.0,master,analyst,tehran,small,32661.207178266923
18,1.0,high_school,analyst,london,small,13282.67634847655
42,5.0,high_school,designer,london,medium,28617.66181837058
53,24.0,master,analyst,amsterdam,large,80548.60650006679
42,16.0,phd,designer,paris,medium,61414.891806655636
24,21.0,phd,developer,paris,small,64195.1919146577
20,,bachelor,analyst,london,medium,44689.552821156845
44,10.0,high_school,manager,tehran,small,37194.60162721248
38,25.0,phd,developer,berlin,large,83477.73290433572
18,29.0,high_school,developer,tehran,small,50708.36718347286
40,,phd,developer,london,large,59782.89011037789
37,29.0,master,analyst,tehran,small,58152.22774547632
40,7.0,master,data_scientist,london,medium,53654.07792415866
47,11.0,master,data_scientist,london,small,59801.746347693974
44,20.0,phd,manager,amsterdam,small,71730.74051527024
24,10.0,phd,developer,tehran,small,44608.10798799382
33,1.0,master,developer,berlin,small,28326.712306876467
58,33.0,bachelor,developer,,small,83693.0341800655
46,14.0,phd,data_scientist,berlin,large,75352.97319551326
27,2.0,master,developer,paris,small,28057.573030708416
45,11.0,bachelor,data_scientist,amsterdam,medium,46820.32539218861
52,17.0,bachelor,designer,berlin,large,58927.83879351781
30,5.0,high_school,developer,amsterdam,small,16206.582137872574
52,23.0,bachelor,analyst,paris,large,73548.93398278696
42,28.0,high_school,data_scientist,paris,small,59126.67294506228
48,10.0,phd,data_scientist,berlin,medium,63399.99772898594
29,17.0,bachelor,developer,berlin,large,53904.00260783816
55,17.0,bachelor,manager,amsterdam,large,65818.64880660322
46,4.0,phd,analyst,amsterdam,large,55063.483250594014
25,9.0,master,developer,tehran,small,26636.432045314446
20,21.0,high_school,data_scientist,amsterdam,medium,57640.450099561545
37,18.0,bachelor,analyst,tehran,large,54140.702901376375
37,18.0,high_school,data_scientist,london,small,62426.71869939244
35,24.0,phd,analyst,london,large,90928.7387964231
23,17.0,,developer,tehran,medium,37569.30495087667
50,33.0,master,analyst,paris,small,80216.6454466833
43,27.0,master,designer,,large,80407.09162393231
55,,phd,manager,amsterdam,small,66942.58715189947
29,11.0,high_school,developer,tehran,medium,20474.241264096927
52,23.0,phd,manager,berlin,large,91187.41377152636
48,14.0,,analyst,tehran,small,36827.04563189941
59,26.0,phd,data_scientist,paris,small,87764.33091371559
56,,phd,manager,,small,107272.55349765866
